"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"2677-1_1"	"SL002644"	"ERBB1"	"Epidermal growth factor receptor"	"7"	"55019021"	"55256620"	"EGFR"	"1956"	"P00533"	"Androgen receptor signaling pathway|EGF/EGFR Signaling Pathway|Epithelium TarBase|ErbB signaling pathway|Focal Adhesion|Integrated Breast Cancer Pathway|Lymphocyte TarBase|MAPK signaling pathway|Muscle cell TarBase|Regulation of Actin Cytoskeleton"	"Arf6 signaling events|Direct p53 effectors|E-cadherin signaling in keratinocytes|EGF receptor (ErbB1) signaling pathway|EGFR-dependent Endothelin signaling events|ErbB receptor signaling network|ErbB1 downstream signaling|Internalization of ErbB1|LPA receptor mediated events|Posttranslational regulation of adherens junction stability and dissassembly|Regulation of Telomerase|SHP2 signaling|Signaling events mediated by PTP1B|Signaling events mediated by TCPTP|Stabilization and expansion of the E-cadherin adherens junction|Syndecan-3-mediated signaling events|Thromboxane A2 receptor signaling|Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling|a6b1 and a6b4 Integrin signaling"	""	"Constitutive Signaling by Aberrant PI3K in Cancer|Constitutive Signaling by EGFRvIII|Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|EGFR Transactivation by Gastrin|EGFR downregulation|EGFR interacts with phospholipase C-gamma|GAB1 signalosome|GRB2 events in EGFR signaling|GRB2 events in ERBB2 signaling|Inhibition of Signaling by Overexpressed EGFR|PI3K events in ERBB2 signaling|PIP3 activates AKT signaling|PLCG1 events in ERBB2 signaling|SHC1 events in EGFR signaling|SHC1 events in ERBB2 signaling|Signal transduction by L1|Signaling by EGFR|Signaling by ERBB2|Signaling by ERBB4"	"CHRM1 -> IL2 production|CholinergicRm -> CREB/ELK-SRF signaling|DRD2 -> TRPC1 transcription|DopamineR2 -> AP-1/CREB/ELK-SRF signaling|DopamineR2 -> NF-kB signaling|EDG2 -> ELK-SRF signaling|EGFR -> AP-1/ATF2 signaling|EGFR -> AP-1/CREB/ELK-SRF/MYC signaling|EGFR -> CTNND signaling|EGFR -> NCOR2 signaling|EGFR -> SMAD1 signaling|EGFR -> ZNF259 signaling|EGFR/ERBB -> STAT signaling|EGFR/ERBB2 -> CTNNB signaling|EGFR/ERBB2 -> HIF1A signaling|EGFR/ERBB2 -> TP53 signaling|EGFR/ERBB3 -> MEF/MYOD/NFATC/MYOG signaling|GRM1/5 -> CREB signaling|Gap Junction Assembly|NeurotensinR -> ELK-SRF/AP-1/EGR signaling|Nociception-related DRD2 expression targets|Nociception-related NTSR1 expression targets|ThrombinR -> AP-1/CREB/ELK-SRF/SP1 signaling|ThrombinR -> NF-kB signaling|Transcytosis|VasopressinR1 -> CREB/ELK-SRF/AP-1/EGR signaling|VasopressinR1 -> MEF/MYOD/NFATC/MYOG signaling|VasopressinR2 -> CREB/ELK-SRF/AP-1/EGR signaling|VasopressinR2 -> MEF/MYOD/NFATC/MYOG signaling"	"cetuximab|AEE 788|panitumumab|BMS-599626|varlitinib|XL647|bevacizumab/erlotinib|afatinib|sapitinib|cetuximab/irinotecan|lapatinib/pazopanib|irinotecan/panitumumab|erlotinib/vismodegib|erlotinib/gemcitabine|lapatinib/letrozole|capecitabine/lapatinib|bevacizumab/panitumumab|bevacizumab/cetuximab|capecitabine/erlotinib|lapatinib/paclitaxel|cabozantinib/erlotinib|lapatinib/trastuzumab|canertinib|gefitinib|neratinib|PD 153035|lapatinib|vandetanib|erlotinib"	"diagnosis|disease progression|efficacy|prognosis|response to therapy|safety|unspecified application"	"Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses. Known ligands include EGF, TGFA/TGF-alpha, amphiregulin, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF. Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates at least 4 major downstream signaling cascades including the RAS-RAF-MEK-ERK, PI3 kinase-AKT, PLCgamma-PKC and STATs modules. May also activate the NF-kappa-B signaling cascade. Also directly phosphorylates other proteins like RGS16, activating its GTPase activity and probably coupling the EGF receptor signaling to the G protein-coupled receptor signaling. Also phosphorylates MUC1 and increases its interaction with SRC and CTNNB1/beta-catenin."	""	"TRUE"
"2681-23_2"	"SL000441"	"HGF"	"Hepatocyte growth factor"	"7"	"81699006"	"81770438"	"HGF"	"3082"	"P14210"	"Focal Adhesion|Signaling of Hepatocyte Growth Factor Receptor"	"Arf6 signaling events|Direct p53 effectors|FGF signaling pathway|Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)|Signaling events mediated by TCPTP|Stabilization and expansion of the E-cadherin adherens junction|Syndecan-1-mediated signaling events|Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling"	""	"Interleukin-7 signaling|Platelet degranulation"	"HGFR -> AP-1/CREB/MYC signaling|HGFR -> FOXO3A signaling|HGFR -> STAT signaling"	""	"diagnosis|disease progression|efficacy|prognosis|unspecified application"	"Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types. Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization."	""	"TRUE"
"2682-68_1"	"SL000450"	"HSP 60"	"60 kDa heat shock protein, mitochondrial"	"2"	"197486581"	"197516737"	"HSPD1"	"3329"	"P10809"	"SIDS Susceptibility Pathways"	"Endogenous TLR signaling|Validated targets of C-MYC transcriptional activation"	""	"Mitochondrial protein import"	""	""	"diagnosis|prognosis"	"Implicated in mitochondrial protein import and macromolecular assembly. May facilitate the correct folding of imported proteins. May also prevent misfolding and promote the refolding and proper assembly of unfolded polypeptides generated under stress conditions in the mitochondrial matrix."	""	"TRUE"
"2683-1_2"	"SL000456"	"iC3b"	"Complement C3b, inactivated"	"19"	"6677704"	"6730562"	"C3"	"718"	"P01024"	"Complement Activation, Classical Pathway|Complement and Coagulation Cascades"	"Beta2 integrin cell surface interactions|Validated nuclear estrogen receptor alpha network|Validated nuclear estrogen receptor beta network"	""	"Activation of C3 and C5|Alternative complement activation|G alpha (i) signalling events|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell|Peptide ligand-binding receptors|Regulation of Complement cascade"	"Alternative Complement Pathway|Classical Complement Pathway|Lectin-Induced Complement Pathway|T-cell-Independent B-cell Activation"	"IgG"	"efficacy"	"C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates."	""	"TRUE"
"2685-21_2"	"SL004676"	"IGFBP-5"	"Insulin-like growth factor-binding protein 5"	"2"	"216672105"	"216695525"	"IGFBP5"	"3488"	"P24593"	"Myometrial Relaxation and Contraction Pathways|Senescence and Autophagy"	""	""	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	""	""	"unspecified application"	"IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors."	""	"TRUE"
"2686-67_2"	"SL005172"	"IGFBP-6"	"Insulin-like growth factor-binding protein 6"	"12"	"53097436"	"53102345"	"IGFBP6"	"3489"	"P24592"	"Myometrial Relaxation and Contraction Pathways"	""	""	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	""	""	""	"IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors."	""	"TRUE"
"2687-2_1"	"SL001947"	"MIA"	"Melanoma-derived growth regulatory protein"	"19"	"40771648"	"40777490"	"MIA"	"8190"	"Q16674"	"Neural Crest Differentiation"	""	""	""	""	""	"disease progression|prognosis"	"Elicits growth inhibition on melanoma cells in vitro as well as some other neuroectodermal tumors, including gliomas."	"139|222"	"TRUE"
"2692-74_2"	"SL002528"	"NPS-PLA2"	"Phospholipase A2, membrane associated"	"1"	"19975431"	"19980416"	"PLA2G2A"	"5320"	"P14555"	"Eicosanoid Synthesis|MicroRNAs in cardiomyocyte hypertrophy"	"Glypican 1 network"	""	"Acyl chain remodelling of PC|Acyl chain remodelling of PE|Acyl chain remodelling of PG|Acyl chain remodelling of PI|Acyl chain remodelling of PS|Synthesis of PA"	""	"varespladib methyl|varespladib|indomethacin"	"efficacy|prognosis|safety"	"Thought to participate in the regulation of the phospholipid metabolism in biomembranes including eicosanoid biosynthesis. Catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides."	"303"	"TRUE"
"2693-20_3"	"SL000530"	"OSM"	"Oncostatin-M"	"22"	"30262829"	"30266840"	"OSM"	"5008"	"P13725"	"Adipogenesis"	"GMCSF-mediated signaling events|IL3-mediated signaling events"	""	""	"LIFR -> STAT5A signaling|OncostatinR -> STAT3 signaling"	""	"unspecified application"	"Growth regulator. Inhibits the proliferation of a number of tumor cell lines. Stimulates proliferation of AIDS-KS cells. It regulates cytokine production, including IL-6, G-CSF and GM-CSF from endothelial cells. Uses both type I OSM receptor (heterodimers composed of LIPR and IL6ST) and type II OSM receptor (heterodimers composed of OSMR and IL6ST). Involved in the maturation of fetal hepatocytes, thereby promoting liver development and regeneration (By similarity)."	""	"TRUE"
"2695-25_1"	"SL001721"	"PECAM-1"	"Platelet endothelial cell adhesion molecule"	"17"	"64319415"	"64413776"	"PECAM1"	"5175"	"P16284"	""	"Beta3 integrin cell surface interactions"	""	"Cell surface interactions at the vascular wall|Integrin cell surface interactions|PECAM1 interactions|Platelet degranulation|Platelet sensitization by LDL"	"CD38 ->  NF-kB signaling|Leukocyte Adhesion to Endothelial Cell|PECAM -> CTNNB1 signaling|PECAM -> SP1 signaling|PECAM -> STAT signaling"	""	"disease progression|efficacy|prognosis"	"Induces susceptibility to atherosclerosis (By similarity). Cell adhesion molecule which is required for leukocyte transendothelial migration (TEM) under most inflammatory conditions. Tyr-690 plays a critical role in TEM and is required for efficient trafficking of PECAM1 to and from the lateral border recycling compartment (LBRC) and is also essential for the LBRC membrane to be targeted around migrating leukocytes. Prevents phagocyte ingestion of closely apposed viable cells by transmitting 'detachment' signals, and changes function on apoptosis, promoting tethering of dying cells to phagocytes (the encounter of a viable cell with a phagocyte via the homophilic interaction of PECAM1 on both cell surfaces leads to the viable cell's active repulsion from the phagocyte. During apoptosis, the inside-out signaling of PECAM1 is somehow disabled so that the apoptotic cell does not actively reject the phagocyte anymore. The lack of this repulsion signal together with the interaction of the eat-me signals and their respective receptors causes the attachment of the apoptotic cell to the phagocyte, thus triggering the process of engulfment). Isoform Delta15 is unable to protect against apoptosis. Modulates BDKRB2 activation. Regulates bradykinin- and hyperosmotic shock-induced ERK1/2 activation in human umbilical cord vein cells (HUVEC)."	""	"TRUE"
"2696-87_2"	"SL004685"	"Persephin"	"Persephin"	"19"	"6375148"	"6379058"	"PSPN"	"5623"	"O60542"	""	""	""	"NCAM1 interactions"	""	""	""	"Exhibits neurotrophic activity on mesencephalic dopaminergic and motor neurons."	""	"TRUE"
"2697-7_2"	"SL003041"	"PF-4"	"Platelet factor 4"	"4"	"73981077"	"73982124"	"PF4"	"5196"	"P02776"	""	"CXCR3-mediated signaling events"	""	"Cell surface interactions at the vascular wall|Chemokine receptors bind chemokines|Common Pathway of Fibrin Clot Formation|G alpha (i) signalling events|Platelet degranulation"	""	""	"diagnosis"	"Released during platelet aggregation. Neutralizes the anticoagulant effect of heparin because it binds more strongly to heparin than to the chondroitin-4-sulfate chains of the carrier molecule. Chemotactic for neutrophils and monocytes. Inhibits endothelial cell proliferation, the short form is a more potent inhibitor than the longer form."	""	"TRUE"
"2700-56_2"	"SL000049"	"Protein S"	"Vitamin K-dependent protein S"	"3"	"93873033"	"93974066"	"PROS1"	"5627"	"P07225"	"Complement and Coagulation Cascades"	""	""	"Cell surface interactions at the vascular wall|Common Pathway of Fibrin Clot Formation|Gamma-carboxylation of protein precursors|Platelet degranulation|Regulation of Complement cascade|Removal of aminoterminal propeptides from gamma-carboxylated proteins|Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	"Coagulation Cascade|Vitamin K metabolism"	""	"diagnosis"	"Anticoagulant plasma protein; it is a cofactor to activated protein C in the degradation of coagulation factors Va and VIIIa. It helps to prevent coagulation and stimulating fibrinolysis."	""	"TRUE"
"2704-74_1"	"SL004364"	"TACI"	"Tumor necrosis factor receptor superfamily member 13B"	"17"	"16929816"	"16972118"	"TNFRSF13B"	"23495"	"O14836"	""	"Syndecan-2-mediated signaling events|Syndecan-4-mediated signaling events"	""	""	"Activation of Immunoglobulin Class-Switch Recombination|T-cell-Independent B-cell Activation|TNFR -> AP-1/ATF/TP53 signaling|TNFR -> CREB/ELK-SRF signaling|TNFR -> NF-kB signaling|TNFRSF5/13B -> NFATC1 signaling"	""	"diagnosis"	"Receptor for TNFSF13/APRIL and TNFSF13B/TALL1/BAFF/BLYS that binds both ligands with similar high affinity. Mediates calcineurin-dependent activation of NF-AT, as well as activation of NF-kappa-B and AP-1. Involved in the stimulation of B- and T-cell function and the regulation of humoral immunity."	""	"TRUE"
"2705-5_2"	"SL003197"	"TECK"	"C-C motif chemokine 25"	"19"	"8052767"	"8062650"	"CCL25"	"6370"	"O15444"	""	""	""	"Chemokine receptors bind chemokines|G alpha (i) signalling events"	""	""	"disease progression"	"Potentially involved in T-cell development. Recombinant protein shows chemotactic activity on thymocytes, macrophages, THP-1 cells, and dendritics cells but is inactive on peripheral blood lymphocytes and neutrophils. Binds to CCR9. Isoform 2 is an antagonist of isoform 1. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4."	"189|278"	"TRUE"
"2706-69_2"	"SL000590"	"Thyroxine-Binding Globulin"	"Thyroxine-Binding Globulin"	"X"	"106032442"	"106038738"	"SERPINA7"	"6906"	"P05543"	""	""	""	""	""	""	""	"Major thyroid hormone transport protein in serum."	""	"TRUE"
"2708-54_2"	"SL004326"	"TNFSF18"	"Tumor necrosis factor ligand superfamily member 18"	"1"	"173039960"	"173050963"	"TNFSF18"	"8995"	"Q9UNG2"	""	""	""	""	""	""	""	"Cytokine that binds to TNFRSF18/AITR/GITR. Regulates T-cell responses. Can function as costimulator and lower the threshold for T-cell activation and T-cell proliferation. Important for interactions between activated T-lymphocytes and endothelial cells. Mediates activation of NF-kappa-B. Triggers increased phosphorylation of STAT1 and up-regulates expression of VCAM1 and ICAM1 (PubMed:23892569). Promotes leukocyte adhesion to endothelial cells (PubMed:23892569). Regulates migration of monocytes from the splenic reservoir to sites of inflammation (By similarity)."	""	"TRUE"
"2711-6_2"	"SL005153"	"CNTFR alpha"	"Ciliary neurotrophic factor receptor subunit alpha"	"9"	"34551432"	"34590140"	"CNTFR"	"1271"	"P26992"	"Adipogenesis"	""	""	""	"CNTFR -> STAT3 signaling"	""	""	"Binds to CNTF. The alpha subunit provides the receptor specificity."	""	"TRUE"
"2714-78_2"	"SL003334"	"EMAP-2"	"Endothelial monocyte-activating polypeptide 2"	"4"	"106315544"	"106349226"	"AIMP1"	"9255"	"Q12904"	""	""	""	"Cytosolic tRNA aminoacylation"	""	""	"diagnosis"	"Non-catalytic component of the multisynthase complex. Stimulates the catalytic activity of cytoplasmic arginyl-tRNA synthase. Binds tRNA. Possesses inflammatory cytokine activity. Negatively regulates TGF-beta signaling through stabilization of SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated degradation. Involved in glucose homeostasis through induction of glucagon secretion at low glucose levels. Promotes dermal fibroblast proliferation and wound repair. Regulates KDELR1-mediated retention of HSP90B1/gp96 in the endoplasmic reticulum. Plays a role in angiogenesis by inducing endothelial cell migration at low concentrations and endothelian cell apoptosis at high concentrations. Induces maturation of dendritic cells and monocyte cell adhesion. Modulates endothelial cell responses by degrading HIF-1A through interaction with PSMA7."	""	"TRUE"
"2715-25_2"	"SL005159"	"EPO-R"	"Erythropoietin receptor"	"19"	"11377205"	"11384342"	"EPOR"	"2057"	"P19235"	"EPO Receptor Signaling"	"EPO signaling pathway|Signaling events mediated by Stem cell factor receptor (c-Kit)"	""	""	"ErythropoietinR -> AP-1/CREB/MYC signaling|ErythropoietinR -> ELK-SRF/FOS signaling|ErythropoietinR -> FOXO3A signaling|ErythropoietinR -> NF-kB signaling|ErythropoietinR -> STAT signaling"	"darbepoetin alfa|continuous erythropoietin receptor activator|peginesatide|EPO|EPO/sargramostim|darbepoetin alfa/filgrastim|EPO/filgrastim|erythropoietin/lenalidomide"	""	"Receptor for erythropoietin. Mediates erythropoietin-induced erythroblast proliferation and differentiation. Upon EPO stimulation, EPOR dimerizes triggering the JAK2/STAT5 signaling cascade. In some cell types, can also activate STAT1 and STAT3. May also activate the LYN tyrosine kinase."	""	"TRUE"
"2719-3_4"	"SL004591"	"G-CSF-R"	"Granulocyte colony-stimulating factor receptor"	"1"	"36466043"	"36483278"	"CSF3R"	"1441"	"Q99062"	""	""	""	""	"CSF3R -> STAT signaling"	"cladribine/cytarabine/filgrastim|cytarabine/filgrastim/fludarabine phosphate|cladribine/cytarabine/filgrastim/mitoxantrone|clofarabine/cytarabine/filgrastim|cytarabine/filgrastim/fludarabine phosphate/idarubicin|cladribine/cytarabine/filgrastim/idarubicin|darbepoetin alfa/filgrastim|EPO/filgrastim|cladribine/cytarabine/filgrastim/idarubicin/plerixafor|clofarabine/filgrastim/idarubicin|clofarabine/cytarabine/filgrastim/idarubicin|clofarabine/filgrastim|pegfilgrastim|filgrastim"	""	"Receptor for granulocyte colony-stimulating factor (CSF3), essential for granulocytic maturation. Plays a crucial role in the proliferation, differientation and survival of cells along the neutrophilic lineage. In addition it may function in some adhesion or recognition events at the cell surface."	""	"TRUE"
"2723-9_2"	"SL005178"	"IL-1F7"	"Interleukin-37"	"2"	"112912971"	"112918882"	"IL37"	"27178"	"Q9NZH6"	""	""	""	""	""	""	""	"Suppressor of innate inflammatory and immune responses involved in curbing excessive inflammation. This function requires SMAD3. Suppresses, or reduces, proinflammatory cytokine production, including IL1A and IL6, as well as CCL12, CSF1, CSF2, CXCL13, IL1B, IL23A and IL1RN, but spares anti-inflammatory cytokines. Inhibits dendritic cell activation."	""	"TRUE"
